Date : 2024-02-02 15:29:34
Directory : c:\Users\acer\workspace1\langtube\packages\readability
Total : 482 files,  -12938 codes, -3390 comments, -3115 blanks, all -19443 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| ..\circular_inkwell\lib                                                                                                                               |          2 |        -29 |          0 |         -4 |        -33 |
| ..\circular_inkwell\lib (Files)                                                                                                                       |          1 |         -2 |          0 |         -2 |         -4 |
| ..\circular_inkwell\lib\src                                                                                                                           |          1 |        -27 |          0 |         -2 |        -29 |
| ..\circular_inkwell\linux                                                                                                                             |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\circular_inkwell\linux\flutter                                                                                                                     |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\circular_inkwell\macos                                                                                                                             |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\circular_inkwell\macos\Flutter                                                                                                                     |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\circular_inkwell\macos\Flutter (Files)                                                                                                             |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\circular_inkwell\macos\Flutter\ephemeral                                                                                                           |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\circular_inkwell\test                                                                                                                              |          1 |        -72 |        -13 |        -14 |        -99 |
| ..\circular_inkwell\windows                                                                                                                           |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\circular_inkwell\windows\flutter                                                                                                                   |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\clipped_icon                                                                                                                                       |         19 |       -167 |        -82 |        -81 |       -330 |
| ..\clipped_icon (Files)                                                                                                                               |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\clipped_icon\android                                                                                                                               |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\clipped_icon\android (Files)                                                                                                                       |          1 |         -2 |          0 |          0 |         -2 |
| ..\clipped_icon\android\app                                                                                                                           |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src                                                                                                                       |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src\main                                                                                                                  |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src\main\java                                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src\main\java\io                                                                                                          |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src\main\java\io\flutter                                                                                                  |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\android\app\src\main\java\io\flutter\plugins                                                                                          |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\clipped_icon\ios                                                                                                                                   |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\clipped_icon\ios\Flutter                                                                                                                           |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\clipped_icon\ios\Runner                                                                                                                            |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\clipped_icon\lib                                                                                                                                   |          4 |        -58 |          0 |        -13 |        -71 |
| ..\clipped_icon\lib (Files)                                                                                                                           |          1 |         -3 |          0 |         -2 |         -5 |
| ..\clipped_icon\lib\src                                                                                                                               |          3 |        -55 |          0 |        -11 |        -66 |
| ..\clipped_icon\linux                                                                                                                                 |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\clipped_icon\linux\flutter                                                                                                                         |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\clipped_icon\macos                                                                                                                                 |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\clipped_icon\macos\Flutter                                                                                                                         |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\clipped_icon\macos\Flutter (Files)                                                                                                                 |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\clipped_icon\macos\Flutter\ephemeral                                                                                                               |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\clipped_icon\windows                                                                                                                               |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\clipped_icon\windows\flutter                                                                                                                       |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\colourful_print                                                                                                                                    |         16 |       -115 |        -82 |        -70 |       -267 |
| ..\colourful_print (Files)                                                                                                                            |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\colourful_print\android                                                                                                                            |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\colourful_print\android (Files)                                                                                                                    |          1 |         -2 |          0 |          0 |         -2 |
| ..\colourful_print\android\app                                                                                                                        |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src                                                                                                                    |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src\main                                                                                                               |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src\main\java                                                                                                          |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src\main\java\io                                                                                                       |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src\main\java\io\flutter                                                                                               |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\android\app\src\main\java\io\flutter\plugins                                                                                       |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\colourful_print\ios                                                                                                                                |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\colourful_print\ios\Flutter                                                                                                                        |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\colourful_print\ios\Runner                                                                                                                         |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\colourful_print\lib                                                                                                                                |          1 |         -6 |          0 |         -2 |         -8 |
| ..\colourful_print\linux                                                                                                                              |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\colourful_print\linux\flutter                                                                                                                      |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\colourful_print\macos                                                                                                                              |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\colourful_print\macos\Flutter                                                                                                                      |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\colourful_print\macos\Flutter (Files)                                                                                                              |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\colourful_print\macos\Flutter\ephemeral                                                                                                            |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\colourful_print\windows                                                                                                                            |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\colourful_print\windows\flutter                                                                                                                    |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\core_utils                                                                                                                                         |          8 |        -51 |        -46 |        -27 |       -124 |
| ..\core_utils (Files)                                                                                                                                 |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\core_utils\lib                                                                                                                                     |          4 |        -16 |          0 |         -4 |        -20 |
| ..\core_utils\lib (Files)                                                                                                                             |          1 |         -3 |          0 |         -1 |         -4 |
| ..\core_utils\lib\src                                                                                                                                 |          3 |        -13 |          0 |         -3 |        -16 |
| ..\curved_bottom_bar                                                                                                                                  |         18 |       -207 |        -83 |        -78 |       -368 |
| ..\curved_bottom_bar (Files)                                                                                                                          |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\curved_bottom_bar\android                                                                                                                          |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\curved_bottom_bar\android (Files)                                                                                                                  |          1 |         -2 |          0 |          0 |         -2 |
| ..\curved_bottom_bar\android\app                                                                                                                      |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src                                                                                                                  |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src\main                                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src\main\java                                                                                                        |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src\main\java\io                                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src\main\java\io\flutter                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\android\app\src\main\java\io\flutter\plugins                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\curved_bottom_bar\ios                                                                                                                              |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\curved_bottom_bar\ios\Flutter                                                                                                                      |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\curved_bottom_bar\ios\Runner                                                                                                                       |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\curved_bottom_bar\lib                                                                                                                              |          3 |        -98 |         -1 |        -10 |       -109 |
| ..\curved_bottom_bar\lib (Files)                                                                                                                      |          1 |         -2 |          0 |         -2 |         -4 |
| ..\curved_bottom_bar\lib\src                                                                                                                          |          2 |        -96 |         -1 |         -8 |       -105 |
| ..\curved_bottom_bar\linux                                                                                                                            |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\curved_bottom_bar\linux\flutter                                                                                                                    |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\curved_bottom_bar\macos                                                                                                                            |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\curved_bottom_bar\macos\Flutter                                                                                                                    |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\curved_bottom_bar\macos\Flutter (Files)                                                                                                            |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\curved_bottom_bar\macos\Flutter\ephemeral                                                                                                          |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\curved_bottom_bar\windows                                                                                                                          |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\curved_bottom_bar\windows\flutter                                                                                                                  |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\dio_api_client                                                                                                                                     |          7 |        -99 |        -46 |        -33 |       -178 |
| ..\dio_api_client (Files)                                                                                                                             |          4 |        -39 |        -46 |        -23 |       -108 |
| ..\dio_api_client\lib                                                                                                                                 |          2 |        -37 |          0 |         -6 |        -43 |
| ..\dio_api_client\lib (Files)                                                                                                                         |          1 |         -3 |          0 |         -2 |         -5 |
| ..\dio_api_client\lib\src                                                                                                                             |          1 |        -34 |          0 |         -4 |        -38 |
| ..\dio_api_client\test                                                                                                                                |          1 |        -23 |          0 |         -4 |        -27 |
| ..\languages                                                                                                                                          |         22 |       -309 |        -84 |        -95 |       -488 |
| ..\languages (Files)                                                                                                                                  |          4 |        -35 |        -46 |        -23 |       -104 |
| ..\languages\android                                                                                                                                  |          2 |        -19 |         -3 |         -4 |        -26 |
| ..\languages\android (Files)                                                                                                                          |          1 |         -2 |          0 |          0 |         -2 |
| ..\languages\android\app                                                                                                                              |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src                                                                                                                          |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src\main                                                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src\main\java                                                                                                                |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src\main\java\io                                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src\main\java\io\flutter                                                                                                     |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\android\app\src\main\java\io\flutter\plugins                                                                                             |          1 |        -17 |         -3 |         -4 |        -24 |
| ..\languages\ios                                                                                                                                      |          3 |        -25 |        -10 |        -14 |        -49 |
| ..\languages\ios\Flutter                                                                                                                              |          1 |        -11 |         -2 |         -1 |        -14 |
| ..\languages\ios\Runner                                                                                                                               |          2 |        -14 |         -8 |        -13 |        -35 |
| ..\languages\lib                                                                                                                                      |          6 |       -200 |         -2 |        -25 |       -227 |
| ..\languages\lib (Files)                                                                                                                              |          1 |         -2 |          0 |         -2 |         -4 |
| ..\languages\lib\src                                                                                                                                  |          5 |       -198 |         -2 |        -23 |       -223 |
| ..\languages\lib\src (Files)                                                                                                                          |          4 |       -109 |         -1 |        -19 |       -129 |
| ..\languages\lib\src\languages                                                                                                                        |          1 |        -89 |         -1 |         -4 |        -94 |
| ..\languages\linux                                                                                                                                    |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\languages\linux\flutter                                                                                                                            |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\languages\macos                                                                                                                                    |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\languages\macos\Flutter                                                                                                                            |          2 |        -14 |         -5 |         -5 |        -24 |
| ..\languages\macos\Flutter (Files)                                                                                                                    |          1 |         -4 |         -3 |         -4 |        -11 |
| ..\languages\macos\Flutter\ephemeral                                                                                                                  |          1 |        -10 |         -2 |         -1 |        -13 |
| ..\languages\test                                                                                                                                     |          1 |          0 |          0 |         -2 |         -2 |
| ..\languages\windows                                                                                                                                  |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\languages\windows\flutter                                                                                                                          |          2 |         -8 |         -9 |        -11 |        -28 |
| ..\oxford_dictionary_scraper                                                                                                                          |         13 |       -445 |        -55 |       -110 |       -610 |
| ..\oxford_dictionary_scraper (Files)                                                                                                                  |          4 |        -36 |        -46 |        -25 |       -107 |
| ..\oxford_dictionary_scraper\lib                                                                                                                      |          8 |       -400 |         -9 |        -82 |       -491 |
| ..\oxford_dictionary_scraper\lib (Files)                                                                                                              |          1 |         -2 |          0 |         -2 |         -4 |
| ..\oxford_dictionary_scraper\lib\src                                                                                                                  |          7 |       -398 |         -9 |        -80 |       -487 |
| ..\oxford_dictionary_scraper\lib\src (Files)                                                                                                          |          2 |        -52 |         -2 |        -11 |        -65 |
| ..\oxford_dictionary_scraper\lib\src\data                                                                                                             |          2 |       -206 |         -4 |        -54 |       -264 |
| ..\oxford_dictionary_scraper\lib\src\data (Files)                                                                                                     |          1 |       -115 |          0 |        -35 |       -150 |
| ..\oxford_dictionary_scraper\lib\src\data\generated                                                                                                   |          1 |        -91 |         -4 |        -19 |       -114 |
| ..\oxford_dictionary_scraper\lib\src\helpers                                                                                                          |          3 |       -140 |         -3 |        -15 |       -158 |
| ..\oxford_dictionary_scraper\test                                                                                                                     |          1 |         -9 |          0 |         -3 |        -12 |
| ..\pos_tagger                                                                                                                                         |         40 |       -854 |       -201 |       -230 |     -1,285 |
| ..\pos_tagger (Files)                                                                                                                                 |          4 |        -37 |        -44 |        -18 |        -99 |
| ..\pos_tagger\android                                                                                                                                 |          7 |       -192 |         -4 |        -50 |       -246 |
| ..\pos_tagger\android (Files)                                                                                                                         |          2 |        -47 |          0 |        -12 |        -59 |
| ..\pos_tagger\android\src                                                                                                                             |          5 |       -145 |         -4 |        -38 |       -187 |
| ..\pos_tagger\android\src\main                                                                                                                        |          4 |       -113 |         -2 |        -29 |       -144 |
| ..\pos_tagger\android\src\main (Files)                                                                                                                |          1 |         -4 |          0 |         -1 |         -5 |
| ..\pos_tagger\android\src\main\java                                                                                                                   |          3 |       -109 |         -2 |        -28 |       -139 |
| ..\pos_tagger\android\src\main\java\com                                                                                                               |          3 |       -109 |         -2 |        -28 |       -139 |
| ..\pos_tagger\android\src\main\java\com\example                                                                                                       |          3 |       -109 |         -2 |        -28 |       -139 |
| ..\pos_tagger\android\src\main\java\com\example\pos_tagger                                                                                            |          3 |       -109 |         -2 |        -28 |       -139 |
| ..\pos_tagger\android\src\test                                                                                                                        |          1 |        -32 |         -2 |         -9 |        -43 |
| ..\pos_tagger\android\src\test\java                                                                                                                   |          1 |        -32 |         -2 |         -9 |        -43 |
| ..\pos_tagger\android\src\test\java\com                                                                                                               |          1 |        -32 |         -2 |         -9 |        -43 |
| ..\pos_tagger\android\src\test\java\com\example                                                                                                       |          1 |        -32 |         -2 |         -9 |        -43 |
| ..\pos_tagger\android\src\test\java\com\example\pos_tagger                                                                                            |          1 |        -32 |         -2 |         -9 |        -43 |
| ..\pos_tagger\example                                                                                                                                 |         19 |       -348 |       -150 |       -113 |       -611 |
| ..\pos_tagger\example (Files)                                                                                                                         |          3 |        -33 |        -75 |        -25 |       -133 |
| ..\pos_tagger\example\android                                                                                                                         |         13 |       -168 |        -51 |        -34 |       -253 |
| ..\pos_tagger\example\android (Files)                                                                                                                 |          3 |        -53 |          0 |        -12 |        -65 |
| ..\pos_tagger\example\android\app                                                                                                                     |          9 |       -110 |        -51 |        -21 |       -182 |
| ..\pos_tagger\example\android\app (Files)                                                                                                             |          1 |        -44 |         -5 |         -9 |        -58 |
| ..\pos_tagger\example\android\app\src                                                                                                                 |          8 |        -66 |        -46 |        -12 |       -124 |
| ..\pos_tagger\example\android\app\src\debug                                                                                                           |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\pos_tagger\example\android\app\src\main                                                                                                            |          6 |        -60 |        -38 |        -10 |       -108 |
| ..\pos_tagger\example\android\app\src\main (Files)                                                                                                    |          1 |        -30 |         -6 |         -1 |        -37 |
| ..\pos_tagger\example\android\app\src\main\java                                                                                                       |          1 |         -4 |          0 |         -3 |         -7 |
| ..\pos_tagger\example\android\app\src\main\java\com                                                                                                   |          1 |         -4 |          0 |         -3 |         -7 |
| ..\pos_tagger\example\android\app\src\main\java\com\example                                                                                           |          1 |         -4 |          0 |         -3 |         -7 |
| ..\pos_tagger\example\android\app\src\main\java\com\example\pos_tagger_example                                                                        |          1 |         -4 |          0 |         -3 |         -7 |
| ..\pos_tagger\example\android\app\src\main\res                                                                                                        |          4 |        -26 |        -32 |         -6 |        -64 |
| ..\pos_tagger\example\android\app\src\main\res\drawable                                                                                               |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\pos_tagger\example\android\app\src\main\res\drawable-v21                                                                                           |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\pos_tagger\example\android\app\src\main\res\values                                                                                                 |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\pos_tagger\example\android\app\src\main\res\values-night                                                                                           |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\pos_tagger\example\android\app\src\profile                                                                                                         |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\pos_tagger\example\android\gradle                                                                                                                  |          1 |         -5 |          0 |         -1 |         -6 |
